Date,Open,High,Low,Close,Adj Close,Volume
2023-07-03,225.9600067138672,230.0,225.5,228.75,227.46197509765625,151600
2023-07-05,227.82000732421875,228.4600067138672,225.6999969482422,227.67999267578125,226.3979949951172,239700
2023-07-06,226.80999755859375,227.60000610351562,225.35000610351562,225.89999389648438,224.6280059814453,266100
2023-07-07,225.22999572753906,227.2100067138672,223.5500030517578,224.25,222.9873046875,504100
2023-07-10,224.66000366210938,227.94000244140625,224.66000366210938,227.8699951171875,226.5869140625,212200
2023-07-11,228.25,232.0,226.72000122070312,230.97000122070312,229.66946411132812,222500
2023-07-12,232.02000427246094,232.02000427246094,228.69000244140625,229.58999633789062,228.2972412109375,190000
2023-07-13,228.6199951171875,229.6999969482422,227.0,228.27999877929688,226.99461364746094,212600
2023-07-14,227.42999267578125,228.38999938964844,225.8000030517578,228.35000610351562,227.06422424316406,233800
2023-07-17,228.92999267578125,234.89999389648438,228.42999267578125,233.0800018310547,231.76759338378906,282100
2023-07-18,233.08999633789062,235.2899932861328,227.83999633789062,229.60000610351562,228.30718994140625,272400
2023-07-19,229.4499969482422,230.35000610351562,227.33999633789062,229.47999572753906,228.18785095214844,308400
2023-07-20,231.07000732421875,233.3800048828125,229.89999389648438,232.8699951171875,231.5587615966797,213200
2023-07-21,232.9499969482422,233.60000610351562,230.49000549316406,231.57000732421875,230.26609802246094,202000
2023-07-24,231.7100067138672,232.92999267578125,230.5399932861328,231.22000122070312,229.91806030273438,148900
2023-07-25,228.89999389648438,231.94000244140625,226.3300018310547,231.58999633789062,230.28598022460938,163000
2023-07-26,231.9600067138672,235.61000061035156,231.0399932861328,234.4600067138672,233.13983154296875,246400
2023-07-27,233.69000244140625,233.69000244140625,228.1300048828125,230.58999633789062,229.29161071777344,288100
2023-07-28,232.69000244140625,232.69000244140625,228.32000732421875,230.4499969482422,229.1523895263672,220600
2023-07-31,231.1699981689453,231.1699981689453,227.39999389648438,229.6699981689453,228.3767852783203,305400
2023-08-01,229.60000610351562,231.67999267578125,228.6199951171875,229.97000122070312,228.6750946044922,220300
2023-08-02,229.91000366210938,230.52999877929688,227.6199951171875,227.82000732421875,226.53721618652344,331400
2023-08-03,229.47999572753906,235.47000122070312,218.50999450683594,226.25999450683594,224.98599243164062,589500
2023-08-04,227.4600067138672,228.33999633789062,225.77999877929688,226.83999633789062,225.56271362304688,360100
2023-08-07,227.60000610351562,232.52999877929688,227.60000610351562,230.5399932861328,229.24188232421875,232300
2023-08-08,228.33999633789062,230.11000061035156,224.80999755859375,226.02000427246094,224.74734497070312,217300
2023-08-09,226.44000244140625,228.8300018310547,224.9499969482422,227.66000366210938,226.37811279296875,187700
2023-08-10,226.72000122070312,227.47999572753906,224.0,224.69000244140625,223.42483520507812,186000
2023-08-11,225.3699951171875,227.25,223.36000061035156,226.8800048828125,225.60250854492188,190900
2023-08-14,227.14999389648438,228.27999877929688,225.4600067138672,227.69000244140625,226.40794372558594,212800
2023-08-15,226.75,228.1199951171875,222.6199951171875,222.77999877929688,221.5255889892578,258900
2023-08-16,222.3800048828125,225.47999572753906,222.3800048828125,223.72999572753906,222.47023010253906,182200
2023-08-17,224.66000366210938,225.11000061035156,220.00999450683594,220.30999755859375,219.06948852539062,369900
2023-08-18,219.77999877929688,222.60000610351562,218.80999755859375,219.44000244140625,218.2043914794922,464200
2023-08-21,219.61000061035156,220.88999938964844,218.33999633789062,219.91000366210938,218.6717529296875,239600
2023-08-22,220.3000030517578,221.6199951171875,219.5500030517578,220.6199951171875,219.37774658203125,133200
2023-08-23,221.02000427246094,221.02000427246094,218.86000061035156,220.22000122070312,218.97999572753906,166300
2023-08-24,218.1699981689453,221.02000427246094,217.6999969482422,218.11000061035156,218.11000061035156,142600
