Date,Open,High,Low,Close,Adj Close,Volume
2023-07-03,76.26000213623047,76.83999633789062,75.83999633789062,76.72000122070312,76.72000122070312,3437300
2023-07-05,76.56999969482422,77.5999984741211,76.0999984741211,77.23999786376953,77.23999786376953,5308300
2023-07-06,76.91000366210938,77.04000091552734,76.0199966430664,76.23999786376953,76.23999786376953,5020300
2023-07-07,75.66000366210938,75.94000244140625,74.33000183105469,74.41999816894531,74.41999816894531,6549400
2023-07-10,74.5,75.87999725341797,74.44999694824219,75.69000244140625,75.69000244140625,5554900
2023-07-11,75.48999786376953,76.25,75.36000061035156,76.12000274658203,76.12000274658203,3530200
2023-07-12,76.36000061035156,77.18000030517578,76.33000183105469,76.37999725341797,76.37999725341797,5185100
2023-07-13,76.69999694824219,77.29000091552734,76.30000305175781,76.70999908447266,76.70999908447266,3341700
2023-07-14,76.61000061035156,77.63999938964844,76.45999908447266,77.19000244140625,77.19000244140625,6071700
2023-07-17,76.66999816894531,77.76000213623047,76.45999908447266,77.4800033569336,77.4800033569336,4954600
2023-07-18,77.54000091552734,78.86000061035156,77.4000015258789,78.22000122070312,78.22000122070312,5244900
2023-07-19,78.0999984741211,79.5999984741211,78.0999984741211,78.95999908447266,78.95999908447266,5351600
2023-07-20,79.55999755859375,80.77999877929688,79.54000091552734,79.94000244140625,79.94000244140625,6046000
2023-07-21,80.41000366210938,81.12999725341797,80.0,80.63999938964844,80.63999938964844,14982100
2023-07-24,79.81999969482422,80.18000030517578,76.25,77.66000366210938,77.66000366210938,11333500
2023-07-25,77.0199966430664,78.1500015258789,76.86000061035156,77.2300033569336,77.2300033569336,5298400
2023-07-26,76.7699966430664,77.37999725341797,76.61000061035156,77.19000244140625,77.19000244140625,4049700
2023-07-27,77.33000183105469,78.27999877929688,76.4000015258789,76.51000213623047,76.51000213623047,6258600
2023-07-28,76.41999816894531,77.31999969482422,76.33999633789062,76.86000061035156,76.86000061035156,5026500
2023-07-31,76.66999816894531,76.88999938964844,75.8499984741211,76.13999938964844,76.13999938964844,6059500
2023-08-01,76.08999633789062,76.37999725341797,75.0999984741211,75.68000030517578,75.68000030517578,4025300
2023-08-02,76.0,76.31999969482422,75.3499984741211,75.68000030517578,75.68000030517578,5325400
2023-08-03,75.72000122070312,75.81999969482422,75.16999816894531,75.52999877929688,75.52999877929688,5747700
2023-08-04,77.37999725341797,80.13999938964844,77.25,78.68000030517578,78.68000030517578,9061800
2023-08-07,78.33000183105469,80.97000122070312,77.94000244140625,80.66999816894531,80.66999816894531,6831500
2023-08-08,80.69000244140625,80.91999816894531,78.77999877929688,80.08000183105469,80.08000183105469,5546500
2023-08-09,80.56999969482422,81.43000030517578,80.02999877929688,80.16999816894531,80.16999816894531,4551300
2023-08-10,80.37999725341797,81.08999633789062,79.94999694824219,80.0,80.0,3776200
2023-08-11,80.0,80.12999725341797,79.45999908447266,80.0,80.0,3383600
2023-08-14,80.05999755859375,80.41999816894531,79.5199966430664,79.8499984741211,79.8499984741211,3682000
2023-08-15,79.62999725341797,80.20999908447266,78.95999908447266,79.63999938964844,79.63999938964844,3798600
2023-08-16,79.12000274658203,80.55000305175781,77.91000366210938,78.0,78.0,7264600
2023-08-17,77.98999786376953,78.11000061035156,76.5,76.5,76.5,5741200
2023-08-18,76.55000305175781,76.70999908447266,75.69999694824219,75.87999725341797,75.87999725341797,6483800
2023-08-21,75.66999816894531,76.26000213623047,75.54000091552734,75.94000244140625,75.94000244140625,5359200
2023-08-22,75.69000244140625,76.75,75.36000061035156,76.3499984741211,76.3499984741211,4536500
2023-08-23,78.30000305175781,78.9800033569336,76.95999908447266,77.04000091552734,77.04000091552734,7422800
2023-08-24,77.25,78.13999938964844,76.29000091552734,76.33000183105469,76.33000183105469,4793200
